"id","team","wiki","region","country","track","kind","section","application","year"
3535,"HZNFHS_Hangzhou","https://2020.igem.org/Team:HZNFHS_Hangzhou","asia","CHN","High School","high-school","high-school","accepted",2020
3542,"HZNFHS_Hangzhou_A","https://2020.igem.org/Team:HZNFHS_Hangzhou_A","asia","CHN","High School","high-school","high-school","deleted",2020
3546,"HZNFHS_TB","https://2020.igem.org/Team:HZNFHS_TB","asia","CHN","High School","high-school","high-school","deleted",2020
3549,"HZNO14Highschool","https://2020.igem.org/Team:HZNO14Highschool","asia","CHN","High School","high-school","high-school","deleted",2020
3678,"IBAB_Bengaluru_A","https://2020.igem.org/Team:IBAB_Bengaluru_A","asia","IND",,"collegiate","collegiate","deleted",2020
3688,"IBAB_Bengaluru_B","https://2020.igem.org/Team:IBAB_Bengaluru_B","asia","IND",,"collegiate","collegiate","deleted",2020
3420,"iBowu-China","https://2020.igem.org/Team:iBowu-China","asia","CHN","High School","high-school","high-school","accepted",2020
3461,"ICS_BKK","https://2020.igem.org/Team:ICS_BKK","asia","THA","High School","high-school","high-school","accepted",2020
3641,"IDAHSCNU","https://2020.igem.org/Team:IDAHSCNU","asia","CHN","High School","high-school","high-school","deleted",2020
3646,"IISER_Berhampur","https://2020.igem.org/Team:IISER_Berhampur","asia","IND","Foundational Advance","collegiate","undergrad","accepted",2020
